127	34	1
41	175	0
1221	169	0
20	11	1
908	53	1
720	44	1
403	28	1
59	291	0
141	209	0
2278	151	0
575	48	1
740	18	0
1375	8	0
76	244	1
541	50	1
2325	204	0
2312	109	0
401	28	1
2044	127	0
2061	1	0
1475	80	0
2258	112	1
1752	127	0
1954	249	0
62	77	0
329	286	0
340	168	0
1590	48	0
58	50	1
1358	93	0
1574	113	0
1662	289	0
2280	44	1
149	61	1
1867	230	0
383	25	1
52	5	1
1523	174	1
1639	150	1
1530	174	1
2192	72	1
2234	142	0
89	7	1
792	48	1
467	105	1
485	177	0
63	62	0
381	41	0
722	180	0
2081	174	0
1556	160	0
16	278	0
1959	159	0
143	169	0
1783	125	0
256	6	1
1878	211	1
1884	211	1
2022	268	0
1837	136	0
934	159	0
1028	77	1
1055	1	0
287	128	0
543	34	1
465	110	1
1841	151	0
628	297	0
66	138	1
926	277	0
1625	2	0
415	280	0
975	66	1
47	159	1
1407	26	1
534	236	0
1056	90	0
677	34	1
176	6	1
546	111	0
303	197	0
1052	147	0
1443	131	1
20	286	1
1958	224	1
844	70	0
643	48	1
431	60	0
1502	139	1
1638	150	1
263	46	0
1076	77	1
102	7	1
884	53	1
1331	94	1
77	244	1
32	139	1
767	48	1
2125	257	0
768	48	1
1988	86	0
689	48	1
1130	222	0
2282	44	1
717	97	0
819	174	1
2278	44	1
2052	227	1
947	61	1
680	34	1
2198	86	0
137	6	1
1785	86	1
1599	52	0
813	50	1
663	34	1
58	7	1
1033	86	1
2309	288	1
1961	223	1
2191	246	1
1656	234	0
96	244	1
1235	226	0
892	134	1
1882	294	0
1830	270	0
1578	141	0
1950	220	1
1447	132	1
1740	174	1
224	6	1
1282	56	0
658	150	0
502	181	1
707	34	1
1565	264	0
1554	138	1
1672	61	0
2022	176	0
266	243	0
1377	217	0
2252	118	0
1557	138	1
703	34	1
2168	244	1
134	243	1
1977	142	1
419	76	1
1295	112	0
1168	8	1
1340	284	0
45	146	0
621	34	1
276	6	1
1531	138	1
1567	234	0
2066	165	1
704	34	1
1360	111	0
329	6	1
1963	223	1
734	59	0
1209	183	0
881	293	0
1182	49	0
338	185	0
1836	211	1
722	45	1
709	50	1
843	204	0
117	102	0
1165	88	1
1050	77	1
850	224	0
1171	298	0
1486	159	0
714	34	1
32	284	1
1976	18	0
63	206	0
904	136	0
1948	244	0
1059	286	0
1568	50	0
63	23	0
181	64	0
1007	86	1
269	189	0
916	172	0
1274	218	1
670	34	1
1919	218	1
1655	278	0
1654	274	1
2	65	0
746	272	0
2259	112	1
1968	142	1
2204	217	0
2077	95	0
277	177	0
1364	26	1
1892	179	1
677	235	0
2013	99	0
392	27	1
1964	244	1
1996	159	0
2028	227	1
887	25	0
403	124	1
595	34	1
2307	288	1
888	53	1
178	8	1
1939	80	0
1135	194	0
13	178	1
119	279	0
438	244	1
1195	220	1
25	225	0
1553	212	0
1266	102	1
423	48	1
1916	231	0
927	53	1
2129	81	0
338	105	0
921	217	0
173	57	0
1595	218	1
719	113	0
103	34	1
719	50	1
1616	149	1
808	218	1
1225	183	0
573	278	0
506	21	0
526	70	0
802	218	1
1439	130	1
325	6	1
428	32	1
814	50	1
451	150	0
2318	292	1
877	26	1
1885	283	0
1427	168	0
14	77	1
843	77	1
1636	142	0
1592	141	0
1152	174	0
809	71	1
1154	88	1
844	76	1
1135	259	1
735	298	0
231	6	1
1100	78	0
1648	6	0
556	76	1
2127	210	0
177	105	1
1340	94	1
1995	89	0
1172	268	0
1754	292	0
67	50	1
774	66	0
2118	216	1
160	49	1
1619	116	1
127	72	1
209	99	1
591	168	0
1179	145	0
208	152	0
2038	123	0
418	32	1
1296	299	0
2281	152	0
1295	185	0
1322	94	1
