121	179	0
809	86	1
1148	88	1
1405	290	0
1892	99	0
115	9	1
328	28	1
1459	79	0
144	19	1
1786	223	0
197	136	0
1913	218	1
904	80	0
899	75	0
345	6	1
545	58	0
640	124	0
1971	221	0
1749	178	1
871	51	0
1720	23	0
1182	288	1
865	76	1
818	206	0
1821	201	1
436	40	1
917	183	0
748	94	0
1782	146	0
1561	138	1
1694	206	1
1118	223	0
1479	279	0
2129	209	0
1872	119	0
309	209	0
21	185	1
676	226	1
1432	64	0
460	48	1
1226	91	1
347	40	0
1176	12	0
1210	67	0
1867	182	0
757	129	0
639	171	0
1984	61	0
42	92	0
2196	240	0
1211	48	0
294	158	0
755	225	0
272	6	1
582	34	1
465	174	1
1625	283	0
136	288	1
1523	138	1
188	261	0
1754	213	0
1752	137	0
1195	220	1
2058	227	1
999	133	0
229	192	0
484	34	1
805	17	0
47	152	1
2138	71	0
1004	286	1
1827	133	0
1173	90	1
172	280	0
1693	249	1
1472	71	0
2091	165	1
948	61	1
2239	273	1
264	23	0
992	118	0
2283	286	1
2185	297	0
1841	57	0
615	34	1
1223	91	1
436	138	1
1029	174	1
42	274	0
1629	114	0
207	24	0
343	69	1
2185	245	1
392	254	1
840	142	1
810	185	1
2106	114	0
172	146	0
678	50	1
582	72	1
1921	218	1
1944	297	0
32	155	1
242	227	0
854	22	0
136	6	1
2317	292	1
343	6	1
51	58	0
282	184	0
1911	125	0
2111	262	0
873	276	0
8	224	0
2193	56	0
1399	26	1
634	34	1
1341	211	0
1432	7	0
2166	49	0
1277	107	1
127	72	1
892	279	0
320	66	0
2060	253	1
701	34	1
648	50	1
1167	89	1
1551	159	0
1473	63	0
104	50	1
223	111	0
1453	212	0
1051	66	0
1524	298	0
387	85	0
2088	31	0
219	187	0
986	87	0
240	120	0
733	45	1
47	159	1
1486	295	0
706	70	0
1608	98	0
465	129	0
407	291	1
167	254	0
659	34	1
709	102	0
1211	35	0
127	138	1
915	237	0
1281	219	0
330	173	0
2103	260	1
64	7	1
1486	202	0
16	5	1
381	114	0
2060	284	0
2158	142	0
634	174	1
1747	204	0
140	6	1
243	262	0
100	56	0
1246	100	1
188	6	1
1726	174	1
450	40	1
980	66	1
246	76	0
2187	281	0
1133	293	0
2103	115	0
2253	159	0
103	7	1
890	53	1
370	135	0
169	47	0
1676	74	0
1801	88	0
36	208	0
1600	140	0
1562	63	0
109	244	1
65	125	0
1897	113	0
1323	40	0
689	254	0
21	11	1
1838	211	1
285	199	1
59	61	1
1326	90	0
1016	4	0
671	48	1
1234	18	0
1716	174	1
2072	272	0
1102	179	0
912	244	0
48	112	0
73	50	1
433	257	1
1209	107	0
827	218	1
1660	181	0
1510	138	1
957	64	1
1475	291	1
1671	17	0
150	40	0
2071	206	0
1252	88	1
827	33	0
1585	175	0
823	218	1
634	109	1
2203	55	0
1815	199	1
626	48	1
372	239	0
2183	235	0
799	130	0
579	218	1
51	299	0
716	153	0
51	34	1
239	165	1
799	49	1
672	230	0
1756	109	0
856	174	1
1440	104	0
472	142	1
1154	187	0
1075	72	0
1508	174	1
2088	165	1
1765	47	0
621	186	0
204	6	1
1352	99	0
1487	123	0
911	53	1
1702	174	1
866	168	0
500	41	0
1941	215	0
1402	55	0
1107	77	1
407	30	1
367	121	1
1251	116	1
21	138	1
693	177	0
1049	77	1
2132	25	0
532	34	1
682	34	1
907	170	0
1145	151	0
2123	260	0
775	48	1
1395	129	0
1346	110	0
1264	102	1
1538	138	1
910	194	1
1662	7	0
2318	147	0
644	34	1
1008	77	1
1136	265	0
1780	291	0
1009	182	0
722	109	0
1807	53	0
788	48	1
1405	172	0
2116	189	0
525	34	1
2110	268	0
935	58	1
1698	218	1
296	90	0
1671	266	0
975	66	1
391	123	0
1429	199	0
969	149	0
889	174	1
1107	199	0
1893	218	1
1667	210	1
1941	259	0
1829	247	1
283	6	1
137	123	1
1779	15	0
625	136	0
1251	251	0
992	70	1
679	34	1
1037	159	0
1738	173	0
1036	275	0
1654	125	0
1739	226	1
1506	138	1
1221	91	1
1696	177	0
1729	53	0
1755	181	1
504	243	0
1444	5	0
533	34	1
543	267	0
58	36	1
36	276	0
1421	57	0
855	156	0
709	252	0
1267	60	0
878	77	1
739	49	1
1795	218	0
544	34	1
1823	203	1
1839	211	1
1701	175	0
856	50	1
579	25	0
800	49	1
2116	104	0
363	275	0
807	76	1
2068	4	0
1818	273	1
1302	112	1
433	174	0
1398	206	0
483	50	1
80	244	1
2263	197	0
1813	198	1
1414	146	0
1655	186	0
652	34	1
2104	165	1
1992	142	1
634	171	0
1581	258	0
2199	136	0
880	50	1
228	46	0
1075	77	1
260	108	0
1017	204	0
737	69	0
1100	131	0
561	174	1
1608	148	1
623	254	0
613	205	0
21	132	1
839	176	0
131	15	1
721	219	0
1500	138	1
32	244	1
776	94	1
1845	35	0
1696	173	1
42	128	0
16	146	0
151	19	1
59	139	1
456	50	1
870	76	1
790	274	0
30	76	1
592	218	1
1234	217	0
1471	116	1
1554	143	0
1017	1	0
1821	179	0
1129	23	0
11	178	1
1189	285	0
1022	44	0
147	19	1
2221	64	0
1785	48	0
2069	113	0
1744	39	0
406	30	1
792	49	1
1897	218	1
536	280	0
166	218	1
407	133	1
542	48	1
32	49	1
260	6	1
1036	77	1
1243	93	1
1617	114	1
768	48	1
1906	182	0
1464	135	0
1199	60	0
56	6	1
964	26	0
1757	139	0
798	48	1
1583	11	0
238	6	1
541	48	1
1757	290	1
2257	112	1
852	234	0
1917	224	0
1950	234	0
2172	244	1
66	7	1
885	53	1
1275	105	1
643	174	1
1554	284	0
1033	142	1
137	210	0
1970	283	0
210	8	1
14	77	1
109	50	1
1020	139	1
77	55	1
934	58	1
125	11	1
2041	177	0
2207	257	1
253	24	0
16	32	1
2024	228	0
134	123	1
30	5	1
862	50	1
664	48	1
475	34	1
620	20	0
134	18	1
703	30	0
1274	88	0
1393	26	1
549	112	0
476	28	0
349	177	0
215	6	1
714	34	1
1427	193	0
99	182	0
382	90	1
1596	145	1
